0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.3;300 / 300;0
0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.4;400 / 400;0
0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.5;800 / 800;0
0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.6;1200 / 1200;0
0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.7;800 / 800;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.0;600 / 600;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.1;400 / 400;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.2;600 / 600;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.3;500 / 500;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.4;1100 / 1100;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.5;1200 / 1200;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.6;1300 / 1300;0
0.2.1.3.0.0.0.5.1;0.2.1.3.0.0.0.5.1.7;700 / 700;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.0;1300 / 1300;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.1;500 / 500;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.2;1400 / 1400;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.3;500 / 500;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.4;100 / 100;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.5;900 / 900;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.6;700 / 700;0
0.2.1.3.0.0.0.5.2;0.2.1.3.0.0.0.5.2.7;1000 / 1000;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.0;900 / 900;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.1;800 / 800;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.2;1200 / 1200;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.3;800 / 800;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.4;500 / 500;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.5;800 / 800;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.6;900 / 900;0
0.2.1.3.0.0.0.5.3;0.2.1.3.0.0.0.5.3.7;500 / 500;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.0;600 / 600;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.1;600 / 600;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.2;600 / 600;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.3;1000 / 1000;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.4;700 / 700;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.5;1100 / 1100;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.6;800 / 800;0
0.2.1.3.0.0.0.5.4;0.2.1.3.0.0.0.5.4.7;1000 / 1000;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.0;1100 / 1100;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.1;1200 / 1200;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.2;200 / 200;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.3;800 / 800;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.4;700 / 700;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.5;400 / 400;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.6;1300 / 1300;0
0.2.1.3.0.0.0.6.0;0.2.1.3.0.0.0.6.0.7;700 / 700;0
0.2.1.3.0.0.0.6.1;0.2.1.3.0.0.0.6.1.0;600 / 600;0
0.2.1.3.0.0.0.6.1;0.2.1.3.0.0.0.6.1.1;1000 / 1000;0
0.2.1.3.0.0.0.6.1;0.2.1.3.0.0.0.6.1.2;1000 / 1000;0
0.2.1.3.0.0.0.6.1;0.2.1.3.0.0.0.6.1.3;1000 / 1000;0
0.2.1.3.0.0.0.6.1;0.2.1.3.0.0.0.6.1.4;900 / 900;0
0.2.1.3.0.0.0.6.1;0.2.1.3.0.0.0.6.1.5;800 / 800;0
